opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,series,sales_price,manager,regional_office,sector,year_established,revenue,employees,office_location,subsidiary_of,ciclo_dias,converteu,categoria_ticket,ano,mes,trimestre,mes_ano
1C1I7A6R,Moses Frase,GTX Plus Basic,Cancity,Won,2016-10-20,2017-03-01,1054.0,GTX,1096.0,Dustin Brinkmann,Central,retail,2001.0,718.62,2448.0,United States,,132.0,1,Médio,2016.0,10.0,4.0,2016-10
Z063OYW0,Darcel Schlecht,GTXPro,Isdom,Won,2016-10-25,2017-03-11,4514.0,,,Melvin Marxen,Central,medical,2002.0,3178.24,4540.0,United States,,137.0,1,Alto,2016.0,10.0,4.0,2016-10
EC4QE1BX,Darcel Schlecht,MG Special,Cancity,Won,2016-10-25,2017-03-07,50.0,MG,55.0,Melvin Marxen,Central,retail,2001.0,718.62,2448.0,United States,,133.0,1,Baixo,2016.0,10.0,4.0,2016-10
MV1LWRNH,Moses Frase,GTX Basic,Codehow,Won,2016-10-25,2017-03-09,588.0,GTX,550.0,Dustin Brinkmann,Central,software,1998.0,2714.9,2641.0,United States,Acme Corporation,135.0,1,Baixo,2016.0,10.0,4.0,2016-10
PE84CX4O,Zane Levy,GTX Basic,Hatfan,Won,2016-10-25,2017-03-02,517.0,GTX,550.0,Summer Sewald,West,services,1982.0,792.46,1299.0,United States,,128.0,1,Baixo,2016.0,10.0,4.0,2016-10
ZNBS69V1,Anna Snelling,MG Special,Ron-tech,Won,2016-10-29,2017-03-01,49.0,MG,55.0,Dustin Brinkmann,Central,medical,1992.0,3922.42,6837.0,United States,,123.0,1,Baixo,2016.0,10.0,4.0,2016-10
9ME3374G,Vicki Laflamme,MG Special,J-Texon,Won,2016-10-30,2017-03-02,57.0,MG,55.0,Celia Rouche,West,retail,1989.0,1388.67,3583.0,United States,,123.0,1,Baixo,2016.0,10.0,4.0,2016-10
7GN8Q4LL,Markita Hansen,GTX Basic,Cheers,Won,2016-11-01,2017-03-07,601.0,GTX,550.0,Celia Rouche,West,entertainment,1993.0,4269.9,6472.0,United States,Massive Dynamic,126.0,1,Baixo,2016.0,11.0,4.0,2016-11
OLK9LKZB,Niesha Huffines,GTX Plus Basic,Zumgoity,Won,2016-11-01,2017-03-03,1026.0,GTX,1096.0,Melvin Marxen,Central,medical,1984.0,441.08,1210.0,United States,,122.0,1,Médio,2016.0,11.0,4.0,2016-11
HAXMC4IX,James Ascencio,MG Advanced,Não Identificado,Engaging,2016-11-03,,,MG,3393.0,Summer Sewald,West,,,,,,,,0,Sem Valor,2016.0,11.0,4.0,2016-11
NL3JZH1Z,Anna Snelling,MG Special,Bioholding,Won,2016-11-04,2017-03-10,53.0,MG,55.0,Dustin Brinkmann,Central,medical,2012.0,587.34,1356.0,Philipines,,126.0,1,Baixo,2016.0,11.0,4.0,2016-11
KWVA7VR1,Gladys Colclough,GTXPro,Genco Pura Olive Oil Company,Lost,2016-11-04,2017-03-18,0.0,,,Melvin Marxen,Central,retail,2007.0,894.33,1635.0,Italy,,134.0,0,Sem Valor,2016.0,11.0,4.0,2016-11
S8DX3XOU,James Ascencio,GTX Plus Pro,Sunnamplex,Won,2016-11-04,2017-03-10,5169.0,GTX,5482.0,Summer Sewald,West,marketing,2008.0,894.37,1593.0,Poland,,126.0,1,Alto,2016.0,11.0,4.0,2016-11
ENB2XD8G,Maureen Marcano,GTX Plus Pro,Sonron,Won,2016-11-04,2017-03-06,4631.0,GTX,5482.0,Summer Sewald,West,telecommunications,1999.0,1699.85,5108.0,United States,,122.0,1,Alto,2016.0,11.0,4.0,2016-11
09YE9QOV,Hayden Neloms,MG Advanced,Finjob,Won,2016-11-05,2017-03-11,3393.0,MG,3393.0,Celia Rouche,West,employment,1988.0,2059.9,3644.0,United States,,126.0,1,Alto,2016.0,11.0,4.0,2016-11
3F5MZNEH,Rosalina Dieter,MG Special,Sonron,Lost,2016-11-05,2017-03-03,0.0,MG,55.0,Celia Rouche,West,telecommunications,1999.0,1699.85,5108.0,United States,,118.0,0,Sem Valor,2016.0,11.0,4.0,2016-11
M6WEJXC0,Rosalina Dieter,MG Advanced,Scotfind,Won,2016-11-05,2017-03-06,3284.0,MG,3393.0,Celia Rouche,West,software,1996.0,6354.87,16780.0,United States,Bubba Gump,121.0,1,Alto,2016.0,11.0,4.0,2016-11
6PTR7VBR,Versie Hillebrand,MG Special,Treequote,Won,2016-11-06,2017-03-05,61.0,MG,55.0,Dustin Brinkmann,Central,telecommunications,1988.0,5266.09,8595.0,United States,Sonron,119.0,1,Baixo,2016.0,11.0,4.0,2016-11
902REDPA,Daniell Hammack,GTXPro,Xx-zobam,Lost,2016-11-07,2017-03-09,0.0,,,Rocco Neubert,East,entertainment,1989.0,3838.39,8274.0,United States,,122.0,0,Sem Valor,2016.0,11.0,4.0,2016-11
5J9CMGDV,Elease Gluck,MG Special,Rantouch,Won,2016-11-07,2017-03-08,46.0,MG,55.0,Celia Rouche,West,telecommunications,1994.0,1188.42,3015.0,United States,,121.0,1,Baixo,2016.0,11.0,4.0,2016-11
JJXRR8R6,James Ascencio,GTX Plus Pro,Fasehatice,Lost,2016-11-07,2017-03-17,0.0,GTX,5482.0,Summer Sewald,West,retail,1990.0,4968.91,7523.0,United States,,130.0,0,Sem Valor,2016.0,11.0,4.0,2016-11
WF4HA5NW,Moses Frase,MG Special,Ron-tech,Won,2016-11-07,2017-03-18,50.0,MG,55.0,Dustin Brinkmann,Central,medical,1992.0,3922.42,6837.0,United States,,131.0,1,Baixo,2016.0,11.0,4.0,2016-11
C5K2JP1H,Violet Mclelland,GTX Plus Basic,Vehement Capital Partners,Won,2016-11-07,2017-03-11,1014.0,GTX,1096.0,Cara Losch,East,finance,1993.0,646.1,883.0,United States,Golddex,124.0,1,Médio,2016.0,11.0,4.0,2016-11
ADRB8OMB,Darcel Schlecht,GTX Basic,Warephase,Won,2016-11-08,2017-03-26,561.0,GTX,550.0,Melvin Marxen,Central,services,1997.0,2041.73,5276.0,United States,,138.0,1,Baixo,2016.0,11.0,4.0,2016-11
SBCR987L,Kami Bicknell,GTX Basic,Zoomit,Won,2016-11-10,2017-03-23,590.0,GTX,550.0,Summer Sewald,West,entertainment,1992.0,324.19,978.0,United States,,133.0,1,Baixo,2016.0,11.0,4.0,2016-11
UP409DSB,Maureen Marcano,MG Advanced,Ganjaflex,Engaging,2016-11-10,,,MG,3393.0,Summer Sewald,West,retail,1995.0,5158.71,17479.0,Japan,,,0,Sem Valor,2016.0,11.0,4.0,2016-11
JSD4APT2,Versie Hillebrand,MG Special,Bioholding,Won,2016-11-10,2017-03-12,61.0,MG,55.0,Dustin Brinkmann,Central,medical,2012.0,587.34,1356.0,Philipines,,122.0,1,Baixo,2016.0,11.0,4.0,2016-11
AO9Z2D17,Violet Mclelland,GTX Plus Pro,Xx-zobam,Lost,2016-11-10,2017-03-11,0.0,GTX,5482.0,Cara Losch,East,entertainment,1989.0,3838.39,8274.0,United States,,121.0,0,Sem Valor,2016.0,11.0,4.0,2016-11
5M58DTJK,Elease Gluck,MG Special,Cheers,Won,2016-11-11,2017-03-05,58.0,MG,55.0,Celia Rouche,West,entertainment,1993.0,4269.9,6472.0,United States,Massive Dynamic,114.0,1,Baixo,2016.0,11.0,4.0,2016-11
KNY1OSAB,Maureen Marcano,GTXPro,Labdrill,Won,2016-11-11,2017-03-14,4899.0,,,Summer Sewald,West,medical,1985.0,2741.37,9226.0,United States,,123.0,1,Alto,2016.0,11.0,4.0,2016-11
EAZDUUM9,Rosie Papadopoulos,MG Advanced,Zotware,Lost,2016-11-11,2017-03-01,0.0,MG,3393.0,Cara Losch,East,software,1979.0,4478.47,13809.0,United States,,110.0,0,Sem Valor,2016.0,11.0,4.0,2016-11
2STUSOFE,Versie Hillebrand,MG Special,dambase,Won,2016-11-11,2017-03-03,67.0,MG,55.0,Dustin Brinkmann,Central,marketing,1995.0,2173.98,2928.0,United States,Inity,112.0,1,Baixo,2016.0,11.0,4.0,2016-11
JYKM0B00,James Ascencio,GTXPro,Xx-holding,Won,2016-11-12,2017-03-06,4338.0,,,Summer Sewald,West,finance,1993.0,7537.24,20293.0,United States,,114.0,1,Alto,2016.0,11.0,4.0,2016-11
KU28360J,Kary Hendrixson,GTX Basic,Fasehatice,Won,2016-11-12,2017-03-19,578.0,GTX,550.0,Summer Sewald,West,retail,1990.0,4968.91,7523.0,United States,,127.0,1,Baixo,2016.0,11.0,4.0,2016-11
N4SD17JR,Reed Clapper,GTX Basic,Acme Corporation,Won,2016-11-12,2017-03-01,556.0,GTX,550.0,Rocco Neubert,East,technolgy,1996.0,1100.04,2822.0,United States,,109.0,1,Baixo,2016.0,11.0,4.0,2016-11
